timepoint	strain	frequency	weighted_distance_to_present	weighted_distance_to_future	fitness	projected_frequency	y	future_timepoint	model	hemisphere	forecast_year
2013-02-01	B/ALICE_SPRINGS/11/2012_EPI_ISL_128721	0.00015800000000000002	2.323519999999998	2.3823729999999994	-0.07630846882983953	0.00011230495660604389	1.6294457980386872	2013-09-01	lbi	north	2013
2013-02-01	B/Alaska/12/2012_EPI_ISL_128369	4.6e-05	2.454278999999998	2.4900869999999995	-0.8829440293044778	2.0424332325752776e-05	1.6914125476706152	2013-09-01	lbi	north	2013
2013-02-01	B/Argentina/35/2012_EPI_ISL_128371	0.00015800000000000002	2.199704999999999	2.345780999999999	-0.8710646747518567	7.064096458683781e-05	1.5481363222131637	2013-09-01	lbi	north	2013
2013-02-01	B/Argentina/44/2012_EPI_ISL_128379	0.000288	1.4648189999999992	1.4900979999999981	-0.2169066806423926	0.0001885885808626216	0.6965976242575898	2013-09-01	lbi	north	2013
2013-02-01	B/Argentina/871/2012_EPI_ISL_129785	0.003275	1.4648189999999992	1.4900979999999981	1.190304751655166	0.004873432654405051	0.6965976242575898	2013-09-01	lbi	north	2013
2013-02-01	B/Argentina/872/2012_EPI_ISL_129786	0.002912	3.3036779999999974	3.3394860000000013	-0.8829449561039017	0.0012929483386543207	2.6224025301129106	2013-09-01	lbi	north	2013
2013-02-01	B/Argentina/9410/2012_EPI_ISL_129639	0.002019	3.305535999999998	3.3716520000000014	-0.8829435572961948	0.0008964508330378513	2.623208463764193	2013-09-01	lbi	north	2013
2013-02-01	B/BRISBANE/28/2012_EPI_ISL_128710	2.5e-05	1.4648189999999992	1.4900979999999981	-2.2681168528850897	4.947804283598143e-06	0.6965976242575898	2013-09-01	lbi	north	2013
2013-02-01	B/Bangkok/282/2012_EPI_ISL_132487	0.014218999999999999	3.386000999999998	3.448322000000001	-0.8827853353186462	0.006313923187015406	2.661402499810833	2013-09-01	lbi	north	2013
2013-02-01	B/Bangladesh/1005/2012_EPI_ISL_129664	0.001093	2.462628999999998	2.4900869999999995	-0.8829420715954922	0.00048530045056016256	1.6956270233564696	2013-09-01	lbi	north	2013
2013-02-01	B/Bangladesh/3249/2012_EPI_ISL_133074	0.010444	3.1202919999999983	2.713766	-0.7050661627095265	0.005144227922323424	2.5175599014517815	2013-09-01	lbi	north	2013
2013-02-01	B/Bangladesh/3849/2012_EPI_ISL_133087	0.000337	2.261590999999999	1.8214909999999989	-0.8785246459305053	0.00015001667560844562	1.584711727670685	2013-09-01	lbi	north	2013
2013-02-01	B/Bangladesh/6704/2012_EPI_ISL_125888	3.6e-05	2.3180629999999978	2.484417999999999	-2.4339533088372134	6.467884471773026e-06	1.6314067408659931	2013-09-01	lbi	north	2013
2013-02-01	B/Bangladesh/7075/2012_EPI_ISL_131836	0.009548000000000001	2.261590999999999	1.8214909999999989	-0.8243509939250129	0.004386784654402647	1.584711727670685	2013-09-01	lbi	north	2013
